# Force coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 3.000000e+01
# lRef        : 1.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cs            	Cl            	CmRoll        	CmPitch       	CmYaw         	Cd(f)         	Cd(r)         	Cs(f)         	Cs(r)         	Cl(f)         	Cl(r)         
0.001         	8.089266e+01	3.753309e+01	1.547730e-03	-7.620075e-04	-4.091090e-03	1.217935e+02	4.044557e+01	4.044709e+01	1.405601e+02	-1.030270e+02	-3.317225e-03	4.864955e-03
0.002         	8.430840e+01	4.117478e+01	1.623947e-03	-8.093201e-04	-4.442752e-03	1.288061e+02	4.215339e+01	4.215501e+01	1.493935e+02	-1.082188e+02	-3.630779e-03	5.254726e-03
0.003         	3.769496e+01	2.631161e+01	5.708578e-04	-2.370127e-04	-1.775749e-03	6.661825e+01	1.884724e+01	1.884772e+01	7.977406e+01	-5.346244e+01	-1.490320e-03	2.061178e-03
0.004         	-1.779961e+01	7.286392e+00	-5.617330e-04	3.323562e-04	1.236363e-03	-7.912265e+00	-8.899472e+00	-8.900137e+00	-4.269069e+00	1.155546e+01	9.554968e-04	-1.517230e-03
0.005         	-4.495724e+01	-3.313345e+00	-1.042066e-03	5.584557e-04	2.631531e-03	-4.564391e+01	-2.247806e+01	-2.247918e+01	-4.730058e+01	4.398724e+01	2.110498e-03	-3.152564e-03
0.006         	-3.676555e+01	-1.784333e+00	-7.647970e-04	3.936714e-04	2.079036e-03	-3.533912e+01	-1.838238e+01	-1.838317e+01	-3.623129e+01	3.444695e+01	1.696638e-03	-2.461435e-03
0.007         	-9.733736e+00	7.152857e+00	-1.371406e-04	3.345112e-05	5.086981e-04	1.725483e+00	-4.866834e+00	-4.866901e+00	5.301912e+00	1.850946e+00	4.401278e-04	-5.772684e-04
0.008         	1.450738e+01	1.592399e+01	3.123213e-04	-1.899418e-04	-7.162283e-04	3.534714e+01	7.253502e+00	7.253882e+00	4.330913e+01	-2.738515e+01	-5.600676e-04	8.723890e-04
0.009         	2.281052e+01	1.940545e+01	3.934908e-04	-2.099260e-04	-1.050177e-03	4.671726e+01	1.140505e+01	1.140547e+01	5.641998e+01	-3.701453e+01	-8.534312e-04	1.246922e-03
0.01          	1.568528e+01	1.719870e+01	1.550233e-04	-5.874388e-05	-5.247587e-04	3.618375e+01	7.842583e+00	7.842701e+00	4.478310e+01	-2.758440e+01	-4.472471e-04	6.022704e-04
0.011         	2.295402e+00	1.240739e+01	-1.547780e-04	1.173757e-04	2.729119e-04	1.688714e+01	1.147819e+00	1.147584e+00	2.309083e+01	-1.068345e+01	1.955229e-04	-3.503009e-04
0.012         	-7.619043e+00	8.638326e+00	-3.384426e-04	2.205416e-04	7.932182e-04	2.889935e+00	-3.809301e+00	-3.809742e+00	7.209098e+00	1.429228e+00	6.239969e-04	-9.624396e-04
0.013         	-9.466299e+00	7.787250e+00	-3.039078e-04	2.011192e-04	7.819137e-04	7.771392e-01	-4.732948e+00	-4.733351e+00	4.670764e+00	3.116486e+00	6.299598e-04	-9.338676e-04
0.014         	-4.813818e+00	9.434723e+00	-1.407857e-04	1.064008e-04	4.085919e-04	8.051984e+00	-2.406803e+00	-2.407015e+00	1.276935e+01	-3.334623e+00	3.381990e-04	-4.789847e-04
0.015         	1.541111e+00	1.182879e+01	-7.813751e-07	2.686955e-05	3.608845e-05	1.748399e+01	7.705824e-01	7.705287e-01	2.339839e+01	-1.156960e+01	3.569776e-05	-3.647914e-05
0.016         	5.358308e+00	1.333235e+01	4.411567e-05	-3.624541e-06	-1.392609e-04	2.283630e+01	2.679150e+00	2.679157e+00	2.950248e+01	-1.617012e+01	-1.172031e-04	1.613187e-04
0.017         	5.235512e+00	1.333865e+01	-1.346653e-05	2.616794e-05	-5.789987e-05	2.221330e+01	2.617782e+00	2.617730e+00	2.888262e+01	-1.554397e+01	-6.463313e-05	5.116660e-05
0.018         	2.510953e+00	1.230958e+01	-1.096600e-04	8.084947e-05	1.494626e-04	1.783960e+01	1.255558e+00	1.255396e+00	2.399440e+01	-1.168481e+01	9.463254e-05	-2.042926e-04
0.019         	-4.003336e-01	1.116938e+01	-1.737433e-04	1.196183e-04	3.161974e-04	1.345323e+01	-2.000472e-01	-2.002864e-01	1.903792e+01	-7.868535e+00	2.293257e-04	-4.030690e-04
0.02          	-1.749408e+00	1.061885e+01	-1.751629e-04	1.215327e-04	3.549949e-04	1.164087e+01	-8.745827e-01	-8.748257e-01	1.695030e+01	-6.331448e+00	2.674134e-04	-4.425764e-04
0.021         	-1.255921e+00	1.079418e+01	-1.278318e-04	9.358643e-05	2.734581e-04	1.266475e+01	-6.278668e-01	-6.280540e-01	1.806184e+01	-7.267655e+00	2.095422e-04	-3.373740e-04
0.022         	1.998574e-01	1.136495e+01	-7.311750e-05	5.998589e-05	1.557514e-04	1.503567e+01	9.998867e-02	9.986869e-02	2.071814e+01	-9.353198e+00	1.191926e-04	-1.923101e-04
0.023         	1.460111e+00	1.187249e+01	-4.807342e-05	4.383449e-05	8.904138e-05	1.693228e+01	7.300991e-01	7.300115e-01	2.286852e+01	-1.099604e+01	6.500467e-05	-1.130781e-04
0.024         	1.851717e+00	1.203953e+01	-6.361875e-05	5.392741e-05	1.088210e-04	1.737996e+01	9.259122e-01	9.258044e-01	2.339973e+01	-1.136020e+01	7.701164e-05	-1.406304e-04
0.025         	1.423075e+00	1.187306e+01	-1.001886e-04	7.876316e-05	1.806369e-04	1.656000e+01	7.116162e-01	7.114586e-01	2.249652e+01	-1.062347e+01	1.305426e-04	-2.307312e-04
