# Force coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 3.000000e+01
# lRef        : 1.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cs            	Cl            	CmRoll        	CmPitch       	CmYaw         	Cd(f)         	Cd(r)         	Cs(f)         	Cs(r)         	Cl(f)         	Cl(r)         
0.01          	6.200142e+01	4.039562e+01	-2.554502e-03	3.692373e-03	2.454774e-03	9.811922e+01	3.100440e+01	3.099702e+01	1.183170e+02	-7.792141e+01	1.177522e-03	-3.732025e-03
0.02          	6.510322e+01	4.212470e+01	-1.204414e-02	1.791887e-02	7.205576e-03	1.026896e+02	3.256953e+01	3.253369e+01	1.237520e+02	-8.162728e+01	1.183506e-03	-1.322765e-02
0.03          	2.954595e+01	2.880952e+01	-1.562286e-02	1.131788e-02	2.980178e-02	5.934924e+01	1.478429e+01	1.476166e+01	7.375401e+01	-4.494448e+01	2.199035e-02	-3.761321e-02
0.04          	-1.186548e+01	1.328436e+01	1.168789e-04	2.056351e-03	-7.635061e-03	8.654875e+00	-5.930681e+00	-5.934794e+00	1.529706e+01	-2.012694e+00	-7.576621e-03	7.693500e-03
0.05          	-3.249012e+01	5.628283e+00	8.360424e-03	-6.754526e-03	-2.070319e-02	-1.648763e+01	-1.625182e+01	-1.623831e+01	-1.367349e+01	1.930178e+01	-1.652298e-02	2.488341e-02
0.06          	-2.713513e+01	7.651288e+00	8.510308e-03	-9.667866e-03	-1.370048e-02	-9.556826e+00	-1.357723e+01	-1.355790e+01	-5.731181e+00	1.338247e+01	-9.445325e-03	1.795563e-02
0.07          	-7.641361e+00	1.498636e+01	1.780006e-03	-6.689549e-03	5.801510e-03	1.491915e+01	-3.827370e+00	-3.813991e+00	2.241233e+01	-7.425970e+00	6.691513e-03	-4.911507e-03
0.08          	1.017196e+01	2.171058e+01	-6.874719e-03	3.932854e-04	2.454455e-02	3.708005e+01	5.086375e+00	5.085588e+00	4.793534e+01	-2.622476e+01	2.110720e-02	-2.798191e-02
0.09          	1.659798e+01	2.411825e+01	-1.053324e-02	5.459628e-03	2.788227e-02	4.467786e+01	8.304450e+00	8.293531e+00	5.673699e+01	-3.261874e+01	2.261565e-02	-3.314889e-02
0.1           	1.177721e+01	2.218452e+01	-7.924898e-03	6.403605e-03	1.654722e-02	3.795497e+01	5.895011e+00	5.882204e+00	4.904724e+01	-2.686271e+01	1.258477e-02	-2.050967e-02
0.11          	2.190186e+00	1.841639e+01	-1.433146e-03	3.472692e-03	-1.905499e-03	2.540502e+01	1.098566e+00	1.091620e+00	3.461321e+01	-1.619682e+01	-2.622072e-03	1.188927e-03
0.12          	-5.089696e+00	1.558214e+01	4.247836e-03	-2.611133e-04	-1.508152e-02	1.620936e+01	-2.545109e+00	-2.544587e+00	2.400043e+01	-8.418294e+00	-1.295761e-02	1.720544e-02
0.13          	-6.620841e+00	1.502415e+01	6.344378e-03	-2.279184e-03	-1.804784e-02	1.465712e+01	-3.312699e+00	-3.308141e+00	2.216919e+01	-7.145046e+00	-1.487565e-02	2.122002e-02
0.14          	-3.418961e+00	1.633006e+01	4.737857e-03	-2.323139e-03	-1.172799e-02	1.920916e+01	-1.711804e+00	-1.707158e+00	2.737418e+01	-1.104413e+01	-9.359062e-03	1.409692e-02
0.15          	1.117827e+00	1.813676e+01	1.120253e-03	-1.025291e-03	-7.940093e-04	2.525164e+01	5.578882e-01	5.599388e-01	3.432002e+01	-1.618326e+01	-2.338826e-04	1.354136e-03
0.16          	3.929533e+00	1.922925e+01	-1.826683e-03	2.929805e-04	7.223145e-03	2.876230e+01	1.965059e+00	1.964473e+00	3.837692e+01	-1.914767e+01	6.309804e-03	-8.136487e-03
0.17          	3.944407e+00	1.919648e+01	-2.735347e-03	8.062647e-04	8.978993e-03	2.847307e+01	1.973010e+00	1.971397e+00	3.807131e+01	-1.887482e+01	7.611320e-03	-1.034667e-02
0.18          	2.063889e+00	1.841367e+01	-1.742552e-03	4.912748e-04	5.549382e-03	2.574604e+01	1.032436e+00	1.031453e+00	3.495288e+01	-1.653920e+01	4.678106e-03	-6.420658e-03
0.19          	-1.141322e-02	1.757238e+01	-1.096781e-04	-1.839353e-04	6.753973e-04	2.293580e+01	-5.890546e-03	-5.522676e-03	3.172199e+01	-1.414961e+01	6.205582e-04	-7.302363e-04
0.2           	-1.017390e+00	1.717888e+01	9.910839e-04	-7.030073e-04	-2.415417e-03	2.170699e+01	-5.093980e-01	-5.079920e-01	3.029643e+01	-1.311756e+01	-1.919875e-03	2.910959e-03
0.21          	-7.185591e-01	1.731469e+01	1.145330e-03	-8.206780e-04	-2.704253e-03	2.226959e+01	-3.601002e-01	-3.584589e-01	3.092693e+01	-1.361224e+01	-2.131589e-03	3.276918e-03
0.22          	2.890355e-01	1.772692e+01	5.888682e-04	-6.456247e-04	-1.007650e-03	2.371771e+01	1.438721e-01	1.451634e-01	3.258116e+01	-1.485425e+01	-7.132163e-04	1.302085e-03
0.23          	1.190603e+00	1.808219e+01	-1.069261e-04	-4.008578e-04	9.973442e-04	2.491212e+01	5.949008e-01	5.957025e-01	3.395321e+01	-1.587102e+01	9.438811e-04	-1.050807e-03
0.24          	1.496211e+00	1.818742e+01	-4.785048e-04	-2.467991e-04	1.993735e-03	2.522311e+01	7.478585e-01	7.483521e-01	3.431683e+01	-1.612940e+01	1.754483e-03	-2.232988e-03
0.25          	1.218991e+00	1.805716e+01	-4.329299e-04	-2.508810e-04	1.786295e-03	2.473750e+01	6.092444e-01	6.097462e-01	3.376608e+01	-1.570892e+01	1.569830e-03	-2.002760e-03
0.26          	7.058845e-01	1.783877e+01	-1.576942e-04	-3.491390e-04	9.514144e-04	2.398201e+01	3.525931e-01	3.532914e-01	3.290140e+01	-1.506263e+01	8.725673e-04	-1.030262e-03
0.27          	3.290394e-01	1.768461e+01	8.614675e-05	-4.700704e-04	2.652072e-04	2.347668e+01	1.640496e-01	1.649898e-01	3.231898e+01	-1.463438e+01	3.082806e-04	-2.221338e-04
0.28          	2.619000e-01	1.766102e+01	1.507558e-04	-5.464716e-04	1.223158e-04	2.343110e+01	1.304035e-01	1.314965e-01	3.226161e+01	-1.460058e+01	1.976937e-04	-4.693791e-05
0.29          	4.426049e-01	1.773690e+01	4.832176e-05	-5.569676e-04	4.453188e-04	2.371943e+01	2.207455e-01	2.218594e-01	3.258789e+01	-1.485098e+01	4.694797e-04	-4.211579e-04
0.3           	6.854262e-01	1.783291e+01	-1.147373e-04	-5.187900e-04	9.033424e-04	2.406001e+01	3.421943e-01	3.432319e-01	3.297646e+01	-1.514355e+01	8.459737e-04	-9.607110e-04
0.31          	8.282582e-01	1.788333e+01	-2.316338e-04	-4.710715e-04	1.188085e-03	2.422985e+01	4.136580e-01	4.146002e-01	3.317152e+01	-1.528819e+01	1.072268e-03	-1.303902e-03
0.32          	8.191454e-01	1.787019e+01	-2.492320e-04	-4.483154e-04	1.168496e-03	2.417739e+01	4.091244e-01	4.100210e-01	3.311248e+01	-1.524229e+01	1.043880e-03	-1.293112e-03
0.33          	7.110333e-01	1.781865e+01	-1.854275e-04	-4.550108e-04	9.214522e-04	2.399856e+01	3.550616e-01	3.559717e-01	3.290788e+01	-1.508924e+01	8.287385e-04	-1.014166e-03
0.34          	5.974169e-01	1.776847e+01	-9.329451e-05	-4.707005e-04	6.123066e-04	2.383365e+01	2.982378e-01	2.991792e-01	3.271788e+01	-1.494941e+01	5.656594e-04	-6.589539e-04
0.35          	5.450819e-01	1.774592e+01	-2.163859e-05	-4.782627e-04	3.887588e-04	2.377067e+01	2.720627e-01	2.730192e-01	3.264363e+01	-1.489771e+01	3.779395e-04	-3.995781e-04
0.36          	5.639136e-01	1.775267e+01	1.307729e-05	-4.721742e-04	2.841484e-04	2.381023e+01	2.814846e-01	2.824290e-01	3.268656e+01	-1.493389e+01	2.906871e-04	-2.776098e-04
0.37          	6.194169e-01	1.777284e+01	2.575276e-05	-4.500811e-04	2.444324e-04	2.389286e+01	3.092584e-01	3.101586e-01	3.277929e+01	-1.500644e+01	2.573088e-04	-2.315560e-04
0.38          	6.670130e-01	1.778794e+01	3.459989e-05	-4.238902e-04	2.153919e-04	2.395292e+01	3.330826e-01	3.339304e-01	3.284689e+01	-1.505895e+01	2.326919e-04	-1.980920e-04
0.39          	6.810578e-01	1.778856e+01	6.391525e-05	-4.172913e-04	1.194804e-04	2.395929e+01	3.401116e-01	3.409462e-01	3.285357e+01	-1.506501e+01	1.514380e-04	-8.752278e-05
0.4           	6.636882e-01	1.777686e+01	1.035449e-04	-4.178972e-04	3.448315e-06	2.392278e+01	3.314262e-01	3.322620e-01	3.281121e+01	-1.503435e+01	5.522077e-05	4.832414e-05
0.41          	6.347825e-01	1.776155e+01	1.474501e-04	-4.101380e-04	-1.232850e-04	2.387654e+01	3.169811e-01	3.178014e-01	3.275731e+01	-1.499576e+01	-4.955994e-05	1.970101e-04
0.42          	6.146944e-01	1.775073e+01	1.862584e-04	-4.060081e-04	-2.224961e-04	2.384919e+01	3.069412e-01	3.077532e-01	3.272455e+01	-1.497382e+01	-1.293669e-04	3.156253e-04
0.43          	6.122220e-01	1.774738e+01	2.143991e-04	-4.014455e-04	-2.875265e-04	2.384954e+01	3.057096e-01	3.065125e-01	3.272323e+01	-1.497585e+01	-1.803269e-04	3.947261e-04
0.44          	6.231463e-01	1.774944e+01	2.307858e-04	-4.081860e-04	-3.171043e-04	2.386766e+01	3.111650e-01	3.119813e-01	3.274238e+01	-1.499294e+01	-2.017113e-04	4.324972e-04
0.45          	6.367892e-01	1.775262e+01	2.373986e-04	-4.238958e-04	-3.244132e-04	2.388643e+01	3.179707e-01	3.188185e-01	3.276274e+01	-1.501013e+01	-2.057139e-04	4.431125e-04
0.46          	6.443423e-01	1.775343e+01	2.455372e-04	-4.472058e-04	-3.410962e-04	2.389386e+01	3.217240e-01	3.226184e-01	3.277057e+01	-1.501714e+01	-2.183276e-04	4.638647e-04
0.47          	6.434592e-01	1.775064e+01	2.553587e-04	-4.651901e-04	-3.664890e-04	2.388809e+01	3.212644e-01	3.221948e-01	3.276341e+01	-1.501277e+01	-2.388097e-04	4.941684e-04
0.48          	6.374334e-01	1.774564e+01	2.697553e-04	-4.819738e-04	-4.067886e-04	2.387573e+01	3.182347e-01	3.191987e-01	3.274855e+01	-1.500291e+01	-2.719110e-04	5.416662e-04
0.49          	6.315400e-01	1.774054e+01	2.845509e-04	-4.903088e-04	-4.472817e-04	2.386492e+01	3.152797e-01	3.162603e-01	3.273519e+01	-1.499465e+01	-3.050062e-04	5.895572e-04
0.5           	6.293622e-01	1.773686e+01	2.944779e-04	-4.924758e-04	-4.731522e-04	2.386028e+01	3.141886e-01	3.151736e-01	3.272871e+01	-1.499185e+01	-3.259132e-04	6.203912e-04
0.51          	6.311869e-01	1.773494e+01	2.944886e-04	-4.896259e-04	-4.744651e-04	2.386121e+01	3.151038e-01	3.160831e-01	3.272868e+01	-1.499374e+01	-3.272209e-04	6.217094e-04
0.52          	6.348505e-01	1.773418e+01	2.857463e-04	-4.845810e-04	-4.526410e-04	2.386407e+01	3.169407e-01	3.179098e-01	3.273116e+01	-1.499698e+01	-3.097679e-04	5.955142e-04
0.53          	6.377616e-01	1.773356e+01	2.742535e-04	-4.700587e-04	-4.216386e-04	2.386511e+01	3.184107e-01	3.193509e-01	3.273189e+01	-1.499833e+01	-2.845119e-04	5.587654e-04
0.54          	6.386560e-01	1.773221e+01	2.588285e-04	-4.415568e-04	-3.843023e-04	2.386248e+01	3.188864e-01	3.197696e-01	3.272859e+01	-1.499638e+01	-2.548880e-04	5.137166e-04
0.55          	6.377917e-01	1.773015e+01	2.426904e-04	-4.150911e-04	-3.477285e-04	2.385723e+01	3.184808e-01	3.193110e-01	3.272231e+01	-1.499215e+01	-2.263833e-04	4.690737e-04
0.56          	6.363104e-01	1.772794e+01	2.321878e-04	-3.999462e-04	-3.226241e-04	2.385174e+01	3.177553e-01	3.185552e-01	3.271571e+01	-1.498777e+01	-2.065302e-04	4.387180e-04
0.57          	6.353058e-01	1.772615e+01	2.274257e-04	-3.971310e-04	-3.102936e-04	2.384798e+01	3.172558e-01	3.180500e-01	3.271105e+01	-1.498490e+01	-1.965807e-04	4.240064e-04
0.58          	6.352114e-01	1.772494e+01	2.194090e-04	-3.858647e-04	-2.958941e-04	2.384648e+01	3.172198e-01	3.179915e-01	3.270895e+01	-1.498401e+01	-1.861896e-04	4.055986e-04
